"","Site","Year","Stat","value"
"22",1,"2001","mean",0.419588733170549
"23",2,"2001","mean",0.368289208984262
"24",3,"2001","mean",0.264441310612648
"25",4,"2001","mean",0.327373213532975
"26",5,"2001","mean",0.263267395774824
"27",6,"2001","mean",0.179530024528503
"28",6,"2001","mean",0.231447835539684
"29",7,"2001","mean",0.216315547217116
"30",8,"2001","mean",0.240601445982036
"31",9,"2001","mean",0.23704062107576
"32",10,"2001","mean",0.211905995780503
"33",10,"2001","mean",0.165419802069664
"34",11,"2001","mean",0.281578323505499
"35",12,"2001","mean",0.328051318834451
"36",13,"2001","mean",0.436446458101273
"37",13,"2001","mean",0.388284114113676
"38",14,"2001","mean",0.181656877697191
"39",15,"2001","mean",0.217827421659608
"40",16,"2001","mean",0.204831147444652
"41",17,"2001","mean",0.297421447068782
"42",18,"2001","mean",0.205726112411928
"43",1,"2010","mean",0.387381079002907
"44",2,"2010","mean",0.336418781626668
"45",3,"2010","mean",0.243616978398173
"46",4,"2010","mean",0.310221702849132
"47",5,"2010","mean",0.257331724445693
"48",6,"2010","mean",0.321895390748978
"49",6,"2010","mean",0.265570054793605
"50",7,"2010","mean",0.223646178760317
"51",8,"2010","mean",0.235850264503477
"52",9,"2010","mean",0.252101631250309
"53",10,"2010","mean",0.23517579118459
"54",10,"2010","mean",0.188709452748299
"55",11,"2010","mean",0.256167244886066
"56",12,"2010","mean",0.311256603937206
"57",13,"2010","mean",0.391819596290588
"58",13,"2010","mean",0.357884527305018
"59",14,"2010","mean",0.209625893545273
"60",15,"2010","mean",0.221737151720318
"61",16,"2010","mean",0.231456135054917
"62",17,"2010","mean",0.280864954465143
"63",18,"2010","mean",0.224915167819714
"64",1,"2011","mean",0.439595443190141
"65",2,"2011","mean",0.371656031566281
"66",3,"2011","mean",0.249751849373693
"67",4,"2011","mean",0.323691492396962
"68",5,"2011","mean",0.260618084832236
"69",6,"2011","mean",0.35525831580162
"70",6,"2011","mean",0.268994520555998
"71",7,"2011","mean",0.229649779713314
"72",8,"2011","mean",0.258248652756549
"73",9,"2011","mean",0.26119152008562
"74",10,"2011","mean",0.234804056741009
"75",10,"2011","mean",0.0678353756666183
"76",11,"2011","mean",0.285367584204802
"77",12,"2011","mean",0.340818367547303
"78",13,"2011","mean",0.453160256147385
"79",13,"2011","mean",0.391106386227957
"80",14,"2011","mean",0.190483597312741
"81",15,"2011","mean",0.220763340857945
"82",16,"2011","mean",0.230621038632346
"83",17,"2011","mean",0.301354959579503
"84",18,"2011","mean",0.233316681006354
"85",1,"2012","mean",0.427987319121998
"86",2,"2012","mean",0.373210192363197
"87",3,"2012","mean",0.263278245001398
"88",4,"2012","mean",0.342805983166723
"89",5,"2012","mean",0.270636038313302
"90",6,"2012","mean",0.328346639871597
"91",6,"2012","mean",0.270123922196838
"92",7,"2012","mean",0.203934669223362
"93",8,"2012","mean",0.243040021049624
"94",9,"2012","mean",0.25579611094701
"95",10,"2012","mean",0.221004962299198
"96",10,"2012","mean",0.0454331636428833
"97",11,"2012","mean",0.277207393009194
"98",12,"2012","mean",0.333485827467265
"99",13,"2012","mean",0.397698134183884
"100",13,"2012","mean",0.378790189931099
"101",14,"2012","mean",0.165953003302757
"102",15,"2012","mean",0.222574427362078
"103",16,"2012","mean",0.225990988014195
"104",17,"2012","mean",0.3065792574509
"105",18,"2012","mean",0.220088820692073
"106",1,"2013","mean",0.447998928693554
"107",2,"2013","mean",0.383491738285914
"108",3,"2013","mean",0.247975545662773
"109",4,"2013","mean",0.333747753337451
"110",5,"2013","mean",0.260098137411835
"111",6,"2013","mean",0.324174851179123
"112",6,"2013","mean",0.261210223726383
"113",7,"2013","mean",0.230483473444754
"114",8,"2013","mean",0.253733042901372
"115",9,"2013","mean",0.25890409649237
"116",10,"2013","mean",0.250177278447195
"117",10,"2013","mean",0.0714553594589233
"118",11,"2013","mean",0.283318825164061
"119",12,"2013","mean",0.350681169446525
"120",13,"2013","mean",0.466853141784668
"121",13,"2013","mean",0.402959335752758
"122",14,"2013","mean",0.202965691914257
"123",15,"2013","mean",0.210770024051676
"124",16,"2013","mean",0.222017994746226
"125",17,"2013","mean",0.310979967032971
"126",18,"2013","mean",0.230034338983022
"127",1,"2014","mean",0.396988303290219
"128",2,"2014","mean",0.352319956766049
"129",3,"2014","mean",0.237465743024399
"130",4,"2014","mean",0.298619104570218
"131",5,"2014","mean",0.239086351563772
"132",6,"2014","mean",0.330601006746292
"133",6,"2014","mean",0.239941541446684
"134",7,"2014","mean",0.193364912375515
"135",8,"2014","mean",0.219195710031619
"136",9,"2014","mean",0.237490199677847
"137",10,"2014","mean",0.218763034792919
"138",10,"2014","mean",0.0682576671242714
"139",11,"2014","mean",0.258658842933835
"140",12,"2014","mean",0.317679432261337
"141",13,"2014","mean",0.416434973478317
"142",13,"2014","mean",0.369709131712905
"143",14,"2014","mean",0.167608328640362
"144",15,"2014","mean",0.193330529622413
"145",16,"2014","mean",0.200247013719948
"146",17,"2014","mean",0.283766195085586
"147",18,"2014","mean",0.206941143020248
"148",1,"2015","mean",0.389223003530786
"149",2,"2015","mean",0.336354776993705
"150",3,"2015","mean",0.239745714753094
"151",4,"2015","mean",0.304449895837969
"152",5,"2015","mean",0.244022774509407
"153",6,"2015","mean",0.289919465780258
"154",6,"2015","mean",0.25438955559435
"155",7,"2015","mean",0.22943583218309
"156",8,"2015","mean",0.251523000022825
"157",9,"2015","mean",0.256595926764954
"158",10,"2015","mean",0.238806856927853
"159",10,"2015","mean",0.0849540531635284
"160",11,"2015","mean",0.262534378320125
"161",12,"2015","mean",0.324060924248014
"162",13,"2015","mean",0.411905139684677
