"","Site","Year","value"
"463",1,"2001",0.1868240217
"464",2,"2001",0.04368529238
"465",3,"2001",0.1234872636
"466",4,"2001",0.1098821959
"467",5,"2001",0.1076467072
"468",6,"2001",NA
"469",6,"2001",0.06517765639
"470",7,"2001",0.03156897376
"471",8,"2001",0.05924332395
"472",9,"2001",0.008353041216
"473",10,"2001",0.0319717454
"474",10,"2001",NA
"475",11,"2001",0.09907897886
"476",12,"2001",0.1474064541
"477",13,"2001",NA
"478",13,"2001",0.1951232531
"479",14,"2001",-0.02642991758
"480",15,"2001",0.1229606011
"481",16,"2001",0.07094569384
"482",17,"2001",0.1009496115
"483",18,"2001",0.001629733823
"484",1,"2010",0.1778266806
"485",2,"2010",0.04866589013
"486",3,"2010",0.1029117942
"487",4,"2010",0.1145244256
"488",5,"2010",0.1335269497
"489",6,"2010",NA
"490",6,"2010",0.1173118505
"491",7,"2010",0.04102295445
"492",8,"2010",0.07495117802
"493",9,"2010",0.02427854957
"494",10,"2010",0.0530163732
"495",10,"2010",NA
"496",11,"2010",0.08278437172
"497",12,"2010",0.1020286863
"498",13,"2010",NA
"499",13,"2010",0.1739961935
"500",14,"2010",-0.04225478698
"501",15,"2010",0.137069497
"502",16,"2010",0.08468152249
"503",17,"2010",0.1066447474
"504",18,"2010",0.005197533661
"505",1,"2011",0.2481177458
"506",2,"2011",0.1058311607
"507",3,"2011",0.1707847576
"508",4,"2011",0.1549310463
"509",5,"2011",0.164490694
"510",6,"2011",NA
"511",6,"2011",0.1708567399
"512",7,"2011",0.07809805738
"513",8,"2011",0.1592937558
"514",9,"2011",0.06489522488
"515",10,"2011",0.1076297321
"516",10,"2011",NA
"517",11,"2011",0.1639922719
"518",12,"2011",0.202966025
"519",13,"2011",NA
"520",13,"2011",0.2527615863
"521",14,"2011",0.01688402681
"522",15,"2011",0.1863245647
"523",16,"2011",0.1544753351
"524",17,"2011",0.160776912
"525",18,"2011",0.06552308742
"526",1,"2012",0.2450399915
"527",2,"2012",0.08620988732
"528",3,"2012",0.1860946686
"529",4,"2012",0.1846045059
"530",5,"2012",0.1712364276
"531",6,"2012",NA
"532",6,"2012",0.140818018
"533",7,"2012",0.09000288543
"534",8,"2012",0.1534535819
"535",9,"2012",0.07774993018
"536",10,"2012",0.0881661322
"537",10,"2012",NA
"538",11,"2012",0.1549472746
"539",12,"2012",0.1780449944
"540",13,"2012",NA
"541",13,"2012",0.2230360472
"542",14,"2012",0.02625544981
"543",15,"2012",0.1734536612
"544",16,"2012",0.1537005452
"545",17,"2012",0.1427090604
"546",18,"2012",0.05821991375
"547",1,"2013",0.262511907
"548",2,"2013",0.1148989696
"549",3,"2013",0.1636497179
"550",4,"2013",0.1755679118
"551",5,"2013",0.1700481403
"552",6,"2013",NA
"553",6,"2013",0.1583208554
"554",7,"2013",0.06838587023
"555",8,"2013",0.1423493184
"556",9,"2013",0.07880859919
"557",10,"2013",0.08847775636
"558",10,"2013",NA
"559",11,"2013",0.1454490285
"560",12,"2013",0.2090415062
"561",13,"2013",NA
"562",13,"2013",0.267539551
"563",14,"2013",0.02573595622
"564",15,"2013",0.1802744317
"565",16,"2013",0.1375749956
"566",17,"2013",0.1694405479
"567",18,"2013",0.05877342843
"568",1,"2014",0.252844877
"569",2,"2014",0.1174689699
"570",3,"2014",0.1636551622
"571",4,"2014",0.1861077153
"572",5,"2014",0.1855248961
"573",6,"2014",NA
"574",6,"2014",0.1643478703
"575",7,"2014",0.1022478475
"576",8,"2014",0.170662171
"577",9,"2014",0.119195934
"578",10,"2014",0.1256066061
"579",10,"2014",NA
"580",11,"2014",0.148450698
"581",12,"2014",0.1942506852
"582",13,"2014",NA
"583",13,"2014",0.2523985339
"584",14,"2014",0.05600544061
"585",15,"2014",0.1744942682
"586",16,"2014",0.157911064
"587",17,"2014",0.1762422611
"588",18,"2014",0.08754157251
"589",1,"2015",0.2061041618
"590",2,"2015",0.0799761778
"591",3,"2015",0.1366236835
"592",4,"2015",0.1416664769
"593",5,"2015",0.14612291
"594",6,"2015",NA
"595",6,"2015",0.129172698
"596",7,"2015",0.05452693156
"597",8,"2015",0.1251382066
"598",9,"2015",0.09011118316
"599",10,"2015",0.09688821598
"600",10,"2015",NA
"601",11,"2015",0.1187055432
"602",12,"2015",0.1520202243
"603",13,"2015",NA
"604",13,"2015",0.2085774785
"605",14,"2015",0.03099999764
"606",15,"2015",0.1568306789
"607",16,"2015",0.1372557137
"608",17,"2015",0.1215984483
"609",18,"2015",0.03907226116
"610",1,"2016",0.2979921512
"611",2,"2016",0.1338169222
"612",3,"2016",0.2524433344
"613",4,"2016",0.2345462583
"614",5,"2016",0.2267970391
"615",6,"2016",NA
"616",6,"2016",0.1921528401
"617",7,"2016",0.1017445794
"618",8,"2016",0.1841752104
"619",9,"2016",0.1307482342
"620",10,"2016",0.1522950867
"621",10,"2016",NA
"622",11,"2016",0.1998353794
"623",12,"2016",0.2551413622
"624",13,"2016",NA
"625",13,"2016",0.3046992991
"626",14,"2016",0.07282797394
"627",15,"2016",0.2225450019
"628",16,"2016",0.1869542732
"629",17,"2016",0.2011383809
"630",18,"2016",0.08873329102
"631",1,"2017",0.261330286
"632",2,"2017",0.1088315158
"633",3,"2017",0.2143760132
"634",4,"2017",0.1996798724
"635",5,"2017",0.1769355442
"636",6,"2017",NA
"637",6,"2017",0.1616818058
"638",7,"2017",0.06745963376
"639",8,"2017",0.1496185442
"640",9,"2017",0.1170109331
"641",10,"2017",0.1232749414
"642",10,"2017",NA
"643",11,"2017",0.2183847023
"644",12,"2017",0.1958318795
"645",13,"2017",NA
"646",13,"2017",0.2847322004
"647",14,"2017",0.05517877332
"648",15,"2017",0.2053795899
"649",16,"2017",0.1667970812
"650",17,"2017",0.1787634067
"651",18,"2017",0.06352488949
"652",1,"2018",0.2411362759
"653",2,"2018",0.103255765
"654",3,"2018",0.2035147926
"655",4,"2018",0.2188674457
"656",5,"2018",0.1818731249
"657",6,"2018",NA
"658",6,"2018",0.121159511
"659",7,"2018",0.05719794956
"660",8,"2018",0.130792372
"661",9,"2018",0.0981480141
"662",10,"2018",0.1065921688
"663",10,"2018",NA
"664",11,"2018",0.1704028596
"665",12,"2018",0.1926274099
"666",13,"2018",NA
"667",13,"2018",0.273820972
"668",14,"2018",0.03775404579
"669",15,"2018",0.1856770229
"670",16,"2018",0.1504662965
"671",17,"2018",0.1679216952
"672",18,"2018",0.0518763133
"673",1,"2019",0.1720728163
"674",2,"2019",0.0601373556
"675",3,"2019",0.1476497429
"676",4,"2019",0.1448445232
"677",5,"2019",0.1202514933
"678",6,"2019",NA
"679",6,"2019",0.07103369924
"680",7,"2019",0.01332661339
"681",8,"2019",0.07467530489
"682",9,"2019",0.03025133617
"683",10,"2019",0.07465806431
"684",10,"2019",NA
"685",11,"2019",0.1301702855
"686",12,"2019",0.1269478223
"687",13,"2019",NA
"688",13,"2019",0.1912676516
"689",14,"2019",-0.02715136267
"690",15,"2019",0.1218689876
"691",16,"2019",0.08127591369
"692",17,"2019",0.1173027327
"693",18,"2019",0.00573463184
"694",1,"2002",0.2138420487
"695",2,"2002",0.06151933933
"696",3,"2002",0.1360425672
"697",4,"2002",0.1334583672
"698",5,"2002",0.1346167869
"699",6,"2002",NA
"700",6,"2002",0.1002387948
"701",7,"2002",0.03374516135
"702",8,"2002",0.07508654867
"703",9,"2002",0.02894437328
"704",10,"2002",0.051919093
"705",10,"2002",NA
"706",11,"2002",0.1106058017
"707",12,"2002",0.1473624741
"708",13,"2002",NA
"709",13,"2002",0.2125811966
"710",14,"2002",-0.01422641622
"711",15,"2002",0.1478728841
"712",16,"2002",0.09300264597
"713",17,"2002",0.1203180824
"714",18,"2002",0.01062017791
"715",1,"2020",0.1709786321
"716",2,"2020",0.09024557793
"717",3,"2020",0.1196262764
"718",4,"2020",0.1051736246
"719",5,"2020",0.1011451992
"720",6,"2020",NA
"721",6,"2020",0.09187235106
"722",7,"2020",0.05777833573
"723",8,"2020",0.09788910063
"724",9,"2020",0.08689086426
"725",10,"2020",0.0825427522
"726",10,"2020",NA
"727",11,"2020",0.1171250436
"728",12,"2020",0.1239154377
"729",13,"2020",NA
"730",13,"2020",0.1806423576
"731",14,"2020",0.06711112025
"732",15,"2020",0.131089797
"733",16,"2020",0.09347036013
"734",17,"2020",0.09814966842
"735",18,"2020",0.05340480838
"736",1,"2003",0.2013810881
"737",2,"2003",0.06286201286
"738",3,"2003",0.1221873313
"739",4,"2003",0.129663073
"740",5,"2003",0.1134949659
"741",6,"2003",NA
"742",6,"2003",0.118719973
"743",7,"2003",0.06437891948
"744",8,"2003",0.1157066386
"745",9,"2003",0.06566954426
"746",10,"2003",0.09362782991
"747",10,"2003",NA
"748",11,"2003",0.1058726203
"749",12,"2003",0.1448722901
"750",13,"2003",NA
"751",13,"2003",0.2113801271
"752",14,"2003",0.02040475654
"753",15,"2003",0.1474511444
"754",16,"2003",0.1153093287
"755",17,"2003",0.1135986714
"756",18,"2003",0.03242927184
"757",1,"2004",0.1996023807
"758",2,"2004",0.05540304506
"759",3,"2004",0.1288145485
"760",4,"2004",0.1676285279
"761",5,"2004",0.1463552395
"762",6,"2004",NA
"763",6,"2004",0.1011416396
"764",7,"2004",0.06076241232
"765",8,"2004",0.08994555513
"766",9,"2004",0.03725284512
"767",10,"2004",0.05510872146
"768",10,"2004",NA
"769",11,"2004",0.09840180515
"770",12,"2004",0.1135012035
"771",13,"2004",NA
"772",13,"2004",0.1971646091
"773",14,"2004",-0.009127151466
"774",15,"2004",0.1461766373
"775",16,"2004",0.1053577793
"776",17,"2004",0.1272164045
"777",18,"2004",0.01663396335
"778",1,"2005",0.1934643337
"779",2,"2005",0.06173015372
"780",3,"2005",0.150926223
"781",4,"2005",0.1257958351
"782",5,"2005",0.1537193671
"783",6,"2005",NA
"784",6,"2005",0.1222308249
"785",7,"2005",0.06751925666
"786",8,"2005",0.1241155643
"787",9,"2005",0.06288065804
"788",10,"2005",0.1066521042
"789",10,"2005",NA
"790",11,"2005",0.1333817051
"791",12,"2005",0.1836152016
"792",13,"2005",NA
"793",13,"2005",0.2201104877
"794",14,"2005",0.01410847156
"795",15,"2005",0.1605765244
"796",16,"2005",0.1014476262
"797",17,"2005",0.1285747835
"798",18,"2005",0.02450972589
"799",1,"2006",0.1849701671
"800",2,"2006",0.07201655774
"801",3,"2006",0.1614695353
"802",4,"2006",0.1446065387
"803",5,"2006",0.1565020982
"804",6,"2006",NA
"805",6,"2006",0.1268569297
"806",7,"2006",0.02724848212
"807",8,"2006",0.08596345597
"808",9,"2006",0.01955309516
"809",10,"2006",0.05290419814
"810",10,"2006",NA
"811",11,"2006",0.1318114853
"812",12,"2006",0.1655412421
"813",13,"2006",NA
"814",13,"2006",0.2285274854
"815",14,"2006",-0.01557586019
"816",15,"2006",0.157905706
"817",16,"2006",0.1010236826
"818",17,"2006",0.1392406849
"819",18,"2006",0.02928870993
"820",1,"2007",0.1968284652
"821",2,"2007",0.06674813047
"822",3,"2007",0.1408177619
"823",4,"2007",0.1257290813
"824",5,"2007",0.1364002831
"825",6,"2007",NA
"826",6,"2007",0.1222047169
"827",7,"2007",0.04674220967
"828",8,"2007",0.1167328243
"829",9,"2007",0.04764358154
"830",10,"2007",0.05873168295
"831",10,"2007",NA
"832",11,"2007",0.1283200461
"833",12,"2007",0.1790997432
"834",13,"2007",NA
"835",13,"2007",0.2168471784
"836",14,"2007",0.00631253505
"837",15,"2007",0.1546404393
"838",16,"2007",0.1088181996
"839",17,"2007",0.1261548911
"840",18,"2007",0.03083318778
"841",1,"2008",0.2247642241
"842",2,"2008",0.06675163245
"843",3,"2008",0.1503770286
"844",4,"2008",0.1653369353
"845",5,"2008",0.1434339755
"846",6,"2008",NA
"847",6,"2008",0.1101810338
"848",7,"2008",0.01546372158
"849",8,"2008",0.09060791477
"850",9,"2008",0.03552880227
"851",10,"2008",0.05542047897
"852",10,"2008",NA
"853",11,"2008",0.1176269651
"854",12,"2008",0.1648200085
"855",13,"2008",NA
"856",13,"2008",0.2186333422
"857",14,"2008",0.001146968145
"858",15,"2008",0.1332788022
"859",16,"2008",0.07841784251
"860",17,"2008",0.1406664363
"861",18,"2008",0.004331348398
"862",1,"2009",0.1951965667
"863",2,"2009",0.05473084617
"864",3,"2009",0.1581940191
"865",4,"2009",0.1367872348
"866",5,"2009",0.137222456
"867",6,"2009",NA
"868",6,"2009",0.107784532
"869",7,"2009",0.03620005585
"870",8,"2009",0.1014030365
"871",9,"2009",0.05481641312
"872",10,"2009",0.06472384358
