"","Site","Year","value"
"904",1,"2001",-0.2079571288
"905",2,"2001",-0.27913157
"906",3,"2001",-0.2142244499
"907",4,"2001",-0.2821709891
"908",5,"2001",-0.3304524171
"909",6,"2001",NA
"910",6,"2001",-0.2591640996
"911",7,"2001",-0.173188413
"912",8,"2001",-0.1658971492
"913",9,"2001",-0.149763314
"914",10,"2001",-0.1629769462
"915",10,"2001",NA
"916",11,"2001",-0.2001611835
"917",12,"2001",-0.225321408
"918",13,"2001",NA
"919",13,"2001",-0.2341606567
"920",14,"2001",-0.178044263
"921",15,"2001",-0.3021796348
"922",16,"2001",-0.1646885915
"923",17,"2001",-0.2437988931
"924",18,"2001",-0.1858118168
"925",1,"2010",-0.220974289
"926",2,"2010",-0.2681343692
"927",3,"2010",-0.2512971759
"928",4,"2010",-0.2423049593
"929",5,"2010",-0.2345716287
"930",6,"2010",NA
"931",6,"2010",-0.1971972254
"932",7,"2010",-0.1499556844
"933",8,"2010",-0.2239767718
"934",9,"2010",-0.2211797365
"935",10,"2010",-0.1948658111
"936",10,"2010",NA
"937",11,"2010",-0.2341721992
"938",12,"2010",-0.2818207022
"939",13,"2010",NA
"940",13,"2010",-0.2318026645
"941",14,"2010",-0.22182106
"942",15,"2010",-0.2101059346
"943",16,"2010",-0.205861737
"944",17,"2010",-0.2643474318
"945",18,"2010",-0.2046791881
"946",1,"2011",-0.2305937972
"947",2,"2011",-0.269579567
"948",3,"2011",-0.2521391122
"949",4,"2011",-0.1622893323
"950",5,"2011",-0.2084626075
"951",6,"2011",NA
"952",6,"2011",-0.1423203226
"953",7,"2011",-0.09805519121
"954",8,"2011",-0.08136613976
"955",9,"2011",-0.208272566
"956",10,"2011",-0.1206861123
"957",10,"2011",NA
"958",11,"2011",-0.2206034682
"959",12,"2011",-0.1981431915
"960",13,"2011",NA
"961",13,"2011",-0.2196091459
"962",14,"2011",-0.2223731448
"963",15,"2011",-0.2116455295
"964",16,"2011",-0.1176664773
"965",17,"2011",-0.2200570688
"966",18,"2011",-0.1235076875
"967",1,"2012",-0.224377561
"968",2,"2012",-0.2856777558
"969",3,"2012",-0.2040243977
"970",4,"2012",-0.1856297893
"971",5,"2012",-0.2185087595
"972",6,"2012",NA
"973",6,"2012",-0.2748937155
"974",7,"2012",-0.1436296771
"975",8,"2012",-0.1349104989
"976",9,"2012",-0.163316938
"977",10,"2012",-0.1441528018
"978",10,"2012",NA
"979",11,"2012",-0.2129440722
"980",12,"2012",-0.2141006067
"981",13,"2012",NA
"982",13,"2012",-0.2306232657
"983",14,"2012",-0.151177742
"984",15,"2012",-0.2674423383
"985",16,"2012",-0.1528766486
"986",17,"2012",-0.2169404489
"987",18,"2012",-0.1685904195
"988",1,"2013",-0.07998622958
"989",2,"2013",-0.1408351123
"990",3,"2013",-0.1011833001
"991",4,"2013",-0.072985527
"992",5,"2013",-0.08879047454
"993",6,"2013",NA
"994",6,"2013",-0.07388384687
"995",7,"2013",-0.07880470039
"996",8,"2013",-0.03961321996
"997",9,"2013",-0.06435898554
"998",10,"2013",-0.04927783055
"999",10,"2013",NA
"1000",11,"2013",-0.06719410923
"1001",12,"2013",-0.08249383302
"1002",13,"2013",NA
"1003",13,"2013",-0.06843872083
"1004",14,"2013",-0.1062963448
"1005",15,"2013",-0.09313368938
"1006",16,"2013",-0.06543612851
"1007",17,"2013",-0.0826706456
"1008",18,"2013",-0.09376546242
"1009",1,"2014",-0.236408301
"1010",2,"2014",-0.2069234982
"1011",3,"2014",-0.1486667145
"1012",4,"2014",-0.1670749394
"1013",5,"2014",-0.148204363
"1014",6,"2014",NA
"1015",6,"2014",-0.1315015573
"1016",7,"2014",-0.07874589392
"1017",8,"2014",-0.05110513357
"1018",9,"2014",-0.09677288599
"1019",10,"2014",-0.08428652966
"1020",10,"2014",NA
"1021",11,"2014",-0.1060651852
"1022",12,"2014",-0.1124433124
"1023",13,"2014",NA
"1024",13,"2014",-0.1418373334
"1025",14,"2014",-0.1372471004
"1026",15,"2014",-0.1432501378
"1027",16,"2014",-0.09377405491
"1028",17,"2014",-0.1374160674
"1029",18,"2014",-0.1042171368
"1030",1,"2015",-0.2499779111
"1031",2,"2015",-0.2618206347
"1032",3,"2015",-0.3129124204
"1033",4,"2015",-0.2366245887
"1034",5,"2015",-0.22706536
"1035",6,"2015",NA
"1036",6,"2015",-0.2536018559
"1037",7,"2015",-0.2196963328
"1038",8,"2015",-0.2704699329
"1039",9,"2015",-0.209084634
"1040",10,"2015",-0.2845591452
"1041",10,"2015",NA
"1042",11,"2015",-0.1872503655
"1043",12,"2015",-0.1626156055
"1044",13,"2015",NA
"1045",13,"2015",-0.2439441889
"1046",14,"2015",-0.2864072872
"1047",15,"2015",-0.2419679542
"1048",16,"2015",-0.223657925
"1049",17,"2015",-0.2539948934
"1050",18,"2015",-0.2369276744
"1051",1,"2016",-0.1193481467
"1052",2,"2016",-0.2023222639
"1053",3,"2016",-0.05192595451
"1054",4,"2016",-0.0551549723
"1055",5,"2016",-0.1671169286
"1056",6,"2016",NA
"1057",6,"2016",-0.1473990772
"1058",7,"2016",-0.09425566547
"1059",8,"2016",-0.07659679525
"1060",9,"2016",-0.101400068
"1061",10,"2016",-0.07788997023
"1062",10,"2016",NA
"1063",11,"2016",-0.1829369174
"1064",12,"2016",-0.0714133206
"1065",13,"2016",NA
"1066",13,"2016",-0.121726831
"1067",14,"2016",-0.1734268125
"1068",15,"2016",-0.1122623318
"1069",16,"2016",-0.07393590617
"1070",17,"2016",-0.2431717818
"1071",18,"2016",-0.1296611091
"1072",1,"2017",-0.1702143916
"1073",2,"2017",-0.2122148574
"1074",3,"2017",-0.1499854767
"1075",4,"2017",-0.1569149887
"1076",5,"2017",-0.1566754416
"1077",6,"2017",NA
"1078",6,"2017",-0.144889292
"1079",7,"2017",-0.1647775198
"1080",8,"2017",-0.1561993644
"1081",9,"2017",-0.1666802343
"1082",10,"2017",-0.1228437492
"1083",10,"2017",NA
"1084",11,"2017",-0.08235661882
"1085",12,"2017",-0.1572240733
"1086",13,"2017",NA
"1087",13,"2017",-0.1572318045
"1088",14,"2017",-0.1632360183
"1089",15,"2017",-0.148697914
"1090",16,"2017",-0.1487698161
"1091",17,"2017",-0.1455400268
"1092",18,"2017",-0.1748412241
"1093",1,"2018",-0.2163712021
"1094",2,"2018",-0.2527709398
"1095",3,"2018",-0.167907054
"1096",4,"2018",-0.2325995171
"1097",5,"2018",-0.1941207467
"1098",6,"2018",NA
"1099",6,"2018",-0.2086721034
"1100",7,"2018",-0.1543361321
"1101",8,"2018",-0.117981782
"1102",9,"2018",-0.1086228856
"1103",10,"2018",-0.07575896284
"1104",10,"2018",NA
"1105",11,"2018",-0.2344285941
"1106",12,"2018",-0.1510470415
"1107",13,"2018",NA
"1108",13,"2018",-0.1911365993
"1109",14,"2018",-0.1520033727
"1110",15,"2018",-0.156621851
"1111",16,"2018",-0.1211503301
"1112",17,"2018",-0.2239495959
"1113",18,"2018",-0.1872349989
"1114",1,"2019",-0.2365068083
"1115",2,"2019",-0.2502884211
"1116",3,"2019",-0.1575729912
"1117",4,"2019",-0.2302297342
"1118",5,"2019",-0.2501300517
"1119",6,"2019",NA
"1120",6,"2019",-0.2406245737
"1121",7,"2019",-0.3047327696
"1122",8,"2019",-0.2440157579
"1123",9,"2019",-0.229912092
"1124",10,"2019",-0.2030489679
"1125",10,"2019",NA
"1126",11,"2019",-0.1569428122
"1127",12,"2019",-0.2517666846
"1128",13,"2019",NA
"1129",13,"2019",-0.2407643037
"1130",14,"2019",-0.2625566716
"1131",15,"2019",-0.2181120355
"1132",16,"2019",-0.2399069098
"1133",17,"2019",-0.2054667276
"1134",18,"2019",-0.2364491163
"1135",1,"2002",-0.2372035717
"1136",2,"2002",-0.2888996061
"1137",3,"2002",-0.2392054879
"1138",4,"2002",-0.221117562
"1139",5,"2002",-0.24232957
"1140",6,"2002",NA
"1141",6,"2002",-0.2487223956
"1142",7,"2002",-0.2642486188
"1143",8,"2002",-0.2712602674
"1144",9,"2002",-0.268592262
"1145",10,"2002",-0.2501724055
"1146",10,"2002",NA
"1147",11,"2002",-0.2586632372
"1148",12,"2002",-0.2933306065
"1149",13,"2002",NA
"1150",13,"2002",-0.229262851
"1151",14,"2002",-0.2482725366
"1152",15,"2002",-0.2498524211
"1153",16,"2002",-0.2368692843
"1154",17,"2002",-0.2473908476
"1155",18,"2002",-0.2342312373
"1156",1,"2020",0.02372529345
"1157",2,"2020",-0.01590410534
"1158",3,"2020",0.02578871327
"1159",4,"2020",0.03382119575
"1160",5,"2020",0.02047316787
"1161",6,"2020",NA
"1162",6,"2020",0.03137555487
"1163",7,"2020",0.009582425103
"1164",8,"2020",0.02211857961
"1165",9,"2020",0.03408464372
"1166",10,"2020",0.02157768992
"1167",10,"2020",NA
"1168",11,"2020",0.04442247564
"1169",12,"2020",0.0353074463
"1170",13,"2020",NA
"1171",13,"2020",0.06423922875
"1172",14,"2020",0.01935847392
"1173",15,"2020",0.05733724646
"1174",16,"2020",0.03655983028
"1175",17,"2020",0.009225780574
"1176",18,"2020",-0.002594660042
"1177",1,"2003",-0.2112811246
"1178",2,"2003",-0.3067739285
"1179",3,"2003",-0.3061281236
"1180",4,"2003",-0.2982973401
"1181",5,"2003",-0.2856694495
"1182",6,"2003",NA
"1183",6,"2003",-0.2181860982
"1184",7,"2003",-0.1626260509
"1185",8,"2003",-0.1396999663
"1186",9,"2003",-0.1625829092
"1187",10,"2003",-0.1263578191
"1188",10,"2003",NA
"1189",11,"2003",-0.3017625928
"1190",12,"2003",-0.2999251106
"1191",13,"2003",NA
"1192",13,"2003",-0.2876652302
"1193",14,"2003",-0.1637157521
"1194",15,"2003",-0.2715796936
"1195",16,"2003",-0.1236468816
"1196",17,"2003",-0.3011455783
"1197",18,"2003",-0.1655095144
"1198",1,"2004",-0.1957660903
"1199",2,"2004",-0.2773504542
"1200",3,"2004",-0.2981863937
"1201",4,"2004",-0.192093808
"1202",5,"2004",-0.2532993378
"1203",6,"2004",NA
"1204",6,"2004",-0.2428390522
"1205",7,"2004",-0.1637027745
"1206",8,"2004",-0.2645090201
"1207",9,"2004",-0.1614868603
"1208",10,"2004",-0.2160225941
"1209",10,"2004",NA
"1210",11,"2004",-0.307407741
"1211",12,"2004",-0.3043272724
"1212",13,"2004",NA
"1213",13,"2004",-0.2642586255
"1214",14,"2004",-0.1713475676
"1215",15,"2004",-0.2178477886
"1216",16,"2004",-0.1842208825
"1217",17,"2004",-0.2825630736
"1218",18,"2004",-0.243176762
"1219",1,"2005",-0.181073939
"1220",2,"2005",-0.2444060469
"1221",3,"2005",-0.1468276497
"1222",4,"2005",-0.1442630518
"1223",5,"2005",-0.1709285363
"1224",6,"2005",NA
"1225",6,"2005",-0.1490265629
"1226",7,"2005",-0.1255774895
"1227",8,"2005",-0.08526723659
"1228",9,"2005",-0.1372767072
"1229",10,"2005",-0.07894924826
"1230",10,"2005",NA
"1231",11,"2005",-0.1565811363
"1232",12,"2005",-0.1450899396
"1233",13,"2005",NA
"1234",13,"2005",-0.1836975534
"1235",14,"2005",-0.1547911458
"1236",15,"2005",-0.1553766367
"1237",16,"2005",-0.1458850972
"1238",17,"2005",-0.1752784071
"1239",18,"2005",-0.1443819554
"1240",1,"2006",-0.2653071653
"1241",2,"2006",-0.2843267378
"1242",3,"2006",-0.3267671924
"1243",4,"2006",-0.3120421605
"1244",5,"2006",-0.2369674046
"1245",6,"2006",NA
"1246",6,"2006",-0.2370105432
"1247",7,"2006",-0.2377356176
"1248",8,"2006",-0.2628113185
"1249",9,"2006",-0.261427182
"1250",10,"2006",-0.2222483147
"1251",10,"2006",NA
"1252",11,"2006",-0.2719581756
"1253",12,"2006",-0.3335772837
"1254",13,"2006",NA
"1255",13,"2006",-0.2484124229
"1256",14,"2006",-0.2092883369
"1257",15,"2006",-0.2646823176
"1258",16,"2006",-0.2167272854
"1259",17,"2006",-0.2563840488
"1260",18,"2006",-0.2557424913
"1261",1,"2007",-0.2045595354
"1262",2,"2007",-0.2134277516
"1263",3,"2007",-0.1987837167
"1264",4,"2007",-0.1673444336
"1265",5,"2007",-0.20448927
"1266",6,"2007",NA
"1267",6,"2007",-0.1954581739
"1268",7,"2007",-0.1458202102
"1269",8,"2007",-0.1218760748
"1270",9,"2007",-0.1508102719
"1271",10,"2007",-0.1686057086
"1272",10,"2007",NA
"1273",11,"2007",-0.1364621287
"1274",12,"2007",-0.1326658956
"1275",13,"2007",NA
"1276",13,"2007",-0.1580643206
"1277",14,"2007",-0.2226383203
"1278",15,"2007",-0.1819730116
"1279",16,"2007",-0.1617466604
"1280",17,"2007",-0.2053144647
"1281",18,"2007",-0.1828769606
"1282",1,"2008",-0.2013182714
"1283",2,"2008",-0.2774579801
"1284",3,"2008",-0.09874020551
"1285",4,"2008",-0.08467437876
"1286",5,"2008",-0.2015348467
"1287",6,"2008",NA
"1288",6,"2008",-0.1995046913
"1289",7,"2008",-0.2526074084
"1290",8,"2008",-0.157806585
"1291",9,"2008",-0.1576829202
"1292",10,"2008",-0.1520212976
