"","Site","Year","Stat","value"
"1",1,"2001","ag",0
"2",2,"2001","ag",0
"3",3,"2001","ag",0
"4",4,"2001","ag",0
"5",5,"2001","ag",0
"6",6,"2001","ag",NA
"7",6,"2001","ag",0
"8",7,"2001","ag",0
"9",8,"2001","ag",0
"10",9,"2001","ag",0
"11",10,"2001","ag",0
"12",10,"2001","ag",NA
"13",11,"2001","ag",0
"14",12,"2001","ag",0
"15",13,"2001","ag",NA
"16",13,"2001","ag",0
"17",14,"2001","ag",0
"18",15,"2001","ag",0
"19",16,"2001","ag",0
"20",17,"2001","ag",0
"21",18,"2001","ag",0
"22",200,"2001","ag",0
"23",1,"2016","ag",0
"24",2,"2016","ag",0
"25",3,"2016","ag",0
"26",4,"2016","ag",0
"27",5,"2016","ag",0
"28",6,"2016","ag",NA
"29",6,"2016","ag",0
"30",7,"2016","ag",0
"31",8,"2016","ag",0
"32",9,"2016","ag",0
"33",10,"2016","ag",0
"34",10,"2016","ag",NA
"35",11,"2016","ag",0
"36",12,"2016","ag",0
"37",13,"2016","ag",NA
"38",13,"2016","ag",0
"39",14,"2016","ag",0
"40",15,"2016","ag",0
"41",16,"2016","ag",0
"42",17,"2016","ag",0
"43",18,"2016","ag",0
"44",200,"2016","ag",0
"67",1,"2016","forest",33.65605545
"68",2,"2016","forest",27.97559166
"69",3,"2016","forest",0.131655544
"70",4,"2016","forest",0.5620062947
"71",5,"2016","forest",16.46945763
"72",6,"2016","forest",NA
"73",6,"2016","forest",10.20791245
"74",7,"2016","forest",0.8457155228
"75",8,"2016","forest",1.668617964
"76",9,"2016","forest",0.2426403612
"77",10,"2016","forest",3.661384821
"78",10,"2016","forest",NA
"79",11,"2016","forest",0.1554578245
"80",12,"2016","forest",0.1382240951
"81",13,"2016","forest",NA
"82",13,"2016","forest",8.826077461
"83",14,"2016","forest",8.934221268
"84",15,"2016","forest",29.83592415
"85",16,"2016","forest",11.77015114
"86",17,"2016","forest",5.132758141
"87",18,"2016","forest",8.805664063
"88",200,"2016","forest",NA
"89",1,"2001","grassland",0.08771947771
"90",2,"2001","grassland",0.3771254718
"91",3,"2001","grassland",0.000379
"92",4,"2001","grassland",0.000314
"93",5,"2001","grassland",0.5158596039
"94",6,"2001","grassland",NA
"95",6,"2001","grassland",0.8383187056
"96",7,"2001","grassland",0.1485538483
"97",8,"2001","grassland",0.5603529215
"98",9,"2001","grassland",0.03276473656
"99",10,"2001","grassland",0.949653089
"100",10,"2001","grassland",NA
"101",11,"2001","grassland",0.001391807804
"102",12,"2001","grassland",0
"103",13,"2001","grassland",NA
"104",13,"2001","grassland",0.003479998559
"105",14,"2001","grassland",1.860737205
"106",15,"2001","grassland",3.740036249
"107",16,"2001","grassland",3.900648832
