"","Site","WY","Month","X.x","Air","PO4","NO3","pH","Cond","Tur","O2","H2Otemp","TotalColiform","EColi","ppt","cwd","tmx","tmn","PctUrb","PctImp","NDVI","SiteWY","Id","OBJECTID","Shape_Area..km2.","Shape_Leng","raw.ag.area.2001","raw.ag.area.2016","raw.forest.area.2001..km2.","forest.2001..","raw.forest.area.2016","raw.grassland.area.2001","raw.grassland.area.2016","raw.scrub.area.2001","raw.scrub.area.2016","raw.urban.area.2001","raw.urban.area.2016","raw.water.area.2001","raw.water.area.2016","ForestChange","ScrubChange","UrbanChange","Air1","PO41","NO31","pH1","Cond1","Tur1","O21","H2Otemp1","TotalColiform1","EColi1","ppt1","cwd1","tmx1","tmn1","NDVI1","Air3","PO43","NO33","pH3","Cond3","Tur3","O23","H2Otemp3","TotalColiform3","EColi3","ppt3","cwd3","tmx3","tmn3","X.y","Acari","Aeshnidae","Ameletidae","Amphipoda","Amphizoidae","Apataniidae","Arctopsychinae","Athericidae","Baetidae","Belostomatidae","Blephariceridae","Brachycentridae","Caenidae","Calamoceratidae","Calopterygidae","Capniidae","Ceratopogonidae","Chironomidae","Chloroperlidae","Cladocera","Coenagrionidae","Copepoda","Cordulegastridae","Corduliidae","Corydalidae","Decapoda","Dixidae","Dryopidae","Dytiscidae","Elmidae","Empididae","Ephemerellidae","Ephemeridae","Ephydridae","Gastropoda","Glossosomatidae","Gomphidae","Haliplidae","Helicopsychidae","Heptageniidae","Hirudunea","Hydraenidae","Hydrophilidae","Hydropsychidae","Hydroptilidae","Isonychiidae","Isopoda","Lepidostomatidae","Leptoceridae","Leptohyphidae","Leptophlebiidae","Leuctridae","Libellulidae","Limnephilidae","Naucoridae","Nematoda","Nematomorpha","Nemertea","Nemouridae","Odontoceridae","Oligochaeta","Ostracoda","Pelecypoda","Peltoperlidae","Perlidae","Perlodidae","Philopotamidae","Polycentropodidae","Psephenidae","Psychodidae","Psychomyiidae","Pteronarcyidae","Ptilodactylidae","Pyralidae","Rhyacophilidae","Sericostomatidae","Sialidae","Simuliidae","Siphlonuridae","Stratiomyidae","Tabanidae","Tipulidae","Turbellaria","Uenoidae","Unknown","Veliidae","number","insect.taxa","ple.taxa","tri.taxa","ept.p","tol.p","intol.p","hil.in","p.p","insect.score","ple.score","tri.score","ept.score","tol.score","intol.score","hil.score","p.score","ibi.score"
"1",1,2001,11,10,0.3,0.5,0.15,7.796666667,31.6,0.126666667,11.96333333,4.4,3.384390263,1.840549633,61.9,0,9.92,-1.48,2,9,0.3,"1 2001",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,24,0.05,0.08,6.7,32.33333333,0.573333333,8.876666667,16.38333333,6.887960652,3.072693315,17.6,106.1,27.79,9.63,0.3,19.4333333333333,0.292222222333333,0.157777777666667,7.06555555566667,31.62222222,0.944444444333333,9.75222222133333,12.95,5.26206093533333,2.355001717,26.5666666666667,90.1,22.99,6.46333333333333,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,12,0,0,0,9,0,0,0,78,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,145,14,0,6,80.68965517,0,31.03448276,2.979310345,6.206896552,1,1,3,5,5,5,5,2,27
"2",1,2001,6,6,19,0.613333333,0.036666667,7.2,41.8,0.15,9.56,11.73333333,6.646520377,1.131402111,6.7,163.5,26.82,9.62,2,9,0.3,"1 2001",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,22,0.493333333,0.666666667,5.233333333,26.6,0.716666667,10.69,10.95,3.883623531,4.084294226,4.2,9.4,26.63,8.9,0.3,15.3333333333333,0.707777777666667,0.320000000333333,6.17777777766667,35.68888889,0.572222222333333,10.6733333333333,9.62777777666667,5.04908088833333,3.06760893833333,46.9666666666667,57.6333333333333,22.59,6.32333333333333,1,9,0,5,0,0,0,0,0,18,0,0,1,0,0,0,0,0,58,1,0,0,0,0,0,10,0,0,0,0,13,0,15,0,0,0,4,0,0,0,103,0,0,0,14,0,0,0,0,0,0,3,4,0,0,0,0,0,0,2,0,22,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,294,16,1,6,63.94557823,0,17.00680272,3.93537415,9.183673469,2,1,3,4,5,4,4,3,26
"3",1,2002,6,17,17.1,0.236666667,0.013333333,7.2,36.63333333,0.35,9.67,11.48333333,4.942356453,0,0.1,109.1,27.57,9.67,2,9,0.222,"1 2002",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,19.7,1,1,7.8,36.9,0.133333333,10.85,8.583333333,3.430756184,0,60.1,0,21.02,4.36,0.222,12.8666666666667,0.434444444666667,0.338888888666667,7.488888889,37.5777777766667,0.471111111,10.8955555566667,9.18888888766667,4.69085078733333,0.796254263,42.6333333333333,36.3666666666667,21.8566666666667,5.51333333333333,3,32,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,4,0,0,0,0,7,0,12,0,0,0,0,0,0,0,101,0,0,0,13,0,0,0,1,0,0,2,0,0,0,0,0,0,0,9,0,4,0,0,0,5,1,7,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,2,0,0,0,327,16,1,6,61.46788991,0,13.45565749,4.327217125,14.06727829,2,1,3,4,5,3,3,5,26
"4",1,2003,10,33,15.9,0.206666667,0.086666667,6.533333333,25.73333333,0.85,13.7,12.33333333,7.791357516,2.827313622,0.3,75.8,21.13,3.89,2,9,0.255,"1 2003",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,8.7,0.71,0.036666667,6.3,29.73333333,0.016666667,9.703333333,11,7.791357516,3.856510295,3,122.6,29.13,10.08,0.255,13.7666666666667,0.371111111333333,0.0455555556666667,6.23333333333333,31.9888888866667,0.344444444666667,10.742222222,12.4277777766667,7.27704822633333,3.228181244,15.2,105.433333333333,26.25,8.27333333333333,5,77,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,33,6,0,0,0,0,0,9,0,0,0,0,52,0,37,0,0,0,15,2,0,0,105,0,0,0,44,0,0,0,2,0,2,6,2,0,3,0,0,0,0,7,0,71,0,0,1,2,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,509,19,1,9,66.79764244,0,19.44990177,3.838899804,19.44990177,3,1,5,4,5,4,4,5,31
"5",1,2003,6,29,18.3,0.04,0.276666667,6.633333333,35.73333333,0.29,8.886666667,11.26666667,7.791357516,3.072693315,0.5,87.2,27.43,9.66,2,9,0.255,"1 2003",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,15.5,0.266666667,0.033333333,6.9,50.63333333,0.683333333,9.14,11.96666667,6.361993085,1.131402111,82.3,0,20.76,5.22,0.255,14.8666666666667,0.112222222333333,0.186666666666667,6.66666666666667,38.3444444433333,0.375555555333333,9.92222222233333,10.0055555576667,6.597116445,3.153516196,88.9666666666667,29.0666666666667,20.3766666666667,4.7,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,62,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,248,6,0,2,8.870967742,0,29.03225806,4.387096774,0.403225806,1,1,1,1,5,5,3,1,18
"6",1,2004,10,45,6.1,0.01,0.266666667,5.766666667,38.33333333,2.566666667,9.866666667,10.01666667,7.791357516,6.017619505,11.9,69.5,24.66,6.71,2,9,0.293,"1 2004",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,19.5,0.003333333,0.033333333,6.633333333,32.76666667,0.283333333,8.69,14.55,4.014579594,2.990719732,9.7,110.9,26.65,8.03,0.293,15.5,0.01,0.118888889,6.411111111,36.08888889,0.97,9.13666666666667,13.3333333333333,6.131621196,4.79822249366667,7.3,114.066666666667,27.0666666666667,8.54,7,15,0,0,0,0,0,0,0,58,0,0,18,0,0,0,0,0,36,3,0,0,0,0,0,2,0,0,0,0,17,0,18,0,0,3,6,0,0,0,128,0,0,0,65,0,0,0,2,0,0,7,1,0,4,0,2,0,0,21,0,30,0,1,0,6,0,0,0,0,0,0,0,0,0,9,0,0,35,0,0,1,0,6,0,0,0,494,20,2,9,64.17004049,1.012145749,17.00404858,3.94534413,6.680161943,3,2,5,4,4,4,4,3,29
"7",1,2004,6,41,16.1,0.036666667,0.003333333,5.8,31.8,0.2,10.37,11.81666667,7.020994675,3.430756184,2.6,167.4,26.76,9.53,2,9,0.293,"1 2004",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,10.9,0.013333333,0,6.366666667,39.36666667,0.35,10.52333333,8.066666667,6.887960652,2.140066163,27.1,31.5,21.46,5.61,0.293,12.2,0.0277777776666667,0.001111111,6.2,36.98888889,0.225,10.5055555533333,9.10000000133333,6.41837000766667,2.47045732666667,26.2,66.3,22.2066666666667,6.22,6,4,0,11,0,0,0,7,0,19,0,0,0,0,0,0,1,0,43,0,0,0,0,0,0,7,0,0,0,0,33,0,10,0,0,0,7,0,0,0,103,0,0,0,13,0,0,0,0,0,0,3,2,0,8,0,0,0,0,4,1,5,0,0,0,10,1,5,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,1,0,0,0,312,18,1,8,58.01282051,0,22.11538462,3.602564103,9.615384615,2,1,4,3,5,4,5,4,28
"8",1,2005,10,57,10.4,0,0.026666667,5.933333333,34.23333333,0.983333333,9.653333333,12.73333333,4.956531035,3.490428515,215,0,17.96,4.21,2,9,0.276,"1 2005",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,26,1.363333333,1.763333333,8.133333333,165.8333333,0.283333333,11.01666667,19.66666667,7.253894921,2.778819272,17.4,99.9,24.66,7.08,0.276,18.5333333333333,0.454444444333333,0.602222222333333,6.76666666633333,80.0555555433333,0.422222222,9.900000001,15.1666666666667,5.51107774366667,2.850543391,77.6333333333333,88,24.5333333333333,7.65,9,5,0,4,0,0,0,0,0,17,0,0,1,0,1,0,2,0,20,11,0,0,0,0,0,0,0,0,0,0,40,0,7,0,0,0,47,1,0,0,106,0,0,0,24,0,0,0,53,0,0,35,3,0,0,0,0,0,0,13,0,47,0,0,0,3,0,8,0,0,0,0,0,0,0,2,12,2,5,0,0,0,0,0,0,0,0,469,19,1,8,54.37100213,0,40.08528785,2.921108742,4.690831557,3,1,4,3,5,5,5,2,28
"9",1,2005,6,53,18.6,0.006666667,0.006666667,6.733333333,34.2,0.45,10.16,10.2,4.788324729,2.602689685,71.7,0,22.28,6.21,2,9,0.276,"1 2005",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,4.6,0.013333333,0,6.72,36.46666667,0.283333333,13.68,5.133333333,3.970291914,2.917770732,110.3,0,14.92,1,0.276,9.7,0.00666666666666667,0.00222222233333333,6.57333333333333,36.37777778,0.805555555333333,11.93111111,6.95,4.33042427366667,3.37118600733333,109.233333333333,0,15.0333333333333,2.01333333333333,8,5,0,2,0,0,2,5,0,88,0,0,1,0,0,0,0,0,64,3,0,0,0,0,0,4,0,0,0,0,32,0,16,0,0,0,5,0,0,0,198,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,3,0,0,0,31,0,11,0,1,0,0,0,0,0,13,0,0,2,0,0,0,2,0,0,0,0,518,19,1,8,73.16602317,0,20.07722008,3.644787645,9.266409266,3,1,4,5,5,4,5,3,30
"10",1,2006,10,69,16.9,1.306666667,2.4,7.3,178.4,0.483333333,8.943333333,14.06666667,7.791357516,4.158883083,52.5,23.1,19.56,4.92,2,9,0.322,"1 2006",1,1,35.85705192,32469.15163,0,0,33.39860916,93.14376774,33.65605545,0.087719478,0.013212219,1.047821164,0.863500059,1.31504035,1.316256046,0.004869071,0.004869071,0.257446289999997,-0.184321105,0.00121569599999982,18.8,1.323333333,1.213333333,7.1,228,0.55,9.533333333,20.13333333,7.791357516,4.133565275,0.5,121.9,27.41,8.8,0.322,17.0666666666667,0.877777777666667,1.20555555533333,7.31555555566667,143.955555556667,0.4,9.561111112,15.4777777766667,7.13564788666667,3.258017633,17.9333333333333,101.4,25.38,7.91,11,2,0,15,0,0,0,0,0,28,0,0,2,0,5,0,4,0,47,8,0,0,0,1,0,4,0,0,0,0,42,1,34,0,0,1,12,1,0,0,53,0,0,0,33,2,0,0,103,0,1,39,3,0,1,0,1,0,1,0,0,15,0,0,0,10,2,0,1,0,0,0,0,0,0,2,19,2,1,0,0,0,0,1,0,0,0,497,27,2,11,45.27162978,0.402414487,48.69215292,2.647887324,7.243460765,4,2,5,2,5,5,5,3,31
